Platform,Trust,Platform_FR
Very negative impact,15%,Impact très négatif
Somewhat negative impact,26%,Impact plutôt négatif
No impact,46%,Aucun impact
Somewhat positive impact,4%,Impact plutôt positif
Very positive impact,2%,Impact très positif
Don't know,7%,Je ne sais pas
