Point,Trust,Point_FR
1 - Not at all effective,14%,1 – Pas du tout efficace
2,7%,2
3,7%,3
4,6%,4
5,11%,5
6,12%,6
7,16%,7
8,8%,8
9 - Very effective,10%,9 – Très efficace
Don't know,10%,Je ne sais pas
