Statement,Share,Statement_FR
TikTok should be banned completely in Canada,33%,TikTok devrait être complètement interdit au Canada
TikTok should be banned for minors under 18 in Canada,24%,TikTok devrait être interdit aux personnes mineures (de moins de 18 ans) au Canada
TikTok should not be banned â€” people can make up their own mind about the potential risks,26%,TikTok ne devrait pas être interdit – les gens peuvent se faire leur propre opinion sur les risques potentiels
Don't know,17%,Je ne sais pas
